Taxonomy,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,threshold,level
f__Clostridiales_unclassified,7.125036302,-0.257955813,0.531518727,-0.485318391,0.627450512,0.824533118,FALSE,family
f__Coriobacteriaceae,15.44666889,-2.143346912,0.614716591,-3.486723709,0.000488976,0.005867715,TRUE,family
f__Desulfovibrionaceae,1.552538945,0.377712806,0.739039991,0.511085747,0.609291016,0.824533118,FALSE,family
f__Eggerthellaceae,3.022531689,-0.647803651,0.601609052,-1.07678508,0.281576293,0.628815843,FALSE,family
f__Enterobacteriaceae,11.32492288,-1.60090286,1.083458842,-1.477585302,0.139518811,0.334845146,FALSE,family
f__Enterococcaceae,0.863952021,-2.068429093,2.131645056,-0.970344048,0.331875028,0.628815843,FALSE,family
f__Erysipelotrichaceae,2.804770737,0.518541949,0.755633593,0.686234643,0.492565155,0.738847733,FALSE,family
f__Eubacteriaceae,22.60591422,-0.139157327,0.430307275,-0.323390597,0.74639945,0.839699381,FALSE,family
f__Firmicutes_unclassified,9.870693633,0.593729244,0.59728106,0.994053359,0.320196891,0.628815843,FALSE,family
f__Fusobacteriaceae,0.075900527,0.750704805,3.452156404,0.217459674,0.827850131,NA,NA,family
f__Hafniaceae,0.007493621,-0.546494268,3.455719779,-0.158141951,0.874344944,NA,NA,family
f__Herpesviridae,0,NA,NA,NA,NA,NA,NA,family
f__Lachnospiraceae,142.8794761,-0.606307831,0.26463233,-2.291132874,0.02195573,0.099017517,FALSE,family
f__Lactobacillaceae,2.052150479,-3.313640176,1.48308569,-2.234287741,0.025464146,0.099017517,FALSE,family
f__Leuconostocaceae,0.099939298,-0.658055998,3.455695847,-0.19042648,0.848974949,NA,NA,family
f__Methanobacteriaceae,0.912326232,0.637107234,1.024395232,0.621934985,0.533984619,0.768937852,FALSE,family
f__Methanomassiliicoccaceae,0.034148791,0.385416738,3.454494913,0.111569635,0.911164649,NA,NA,family
f__Micrococcaceae,0,NA,NA,NA,NA,NA,NA,family
f__Myoviridae,1.4453098,-0.996268339,1.207673071,-0.824948707,0.409400712,0.640801114,FALSE,family
f__Odoribacteraceae,12.82525244,-0.239424918,0.593668542,-0.403297297,0.68672953,0.824533118,FALSE,family
f__Oscillospiraceae,4.77459398,1.233931699,0.771727712,1.59892107,0.109838142,0.282440936,FALSE,family
f__Oxalobacteraceae,0.01298237,-0.415341745,3.455719779,-0.120189648,0.904332918,NA,NA,family
f__Pasteurellaceae,0.088301136,-0.616822343,3.158297491,-0.195302167,0.845156401,NA,NA,family
f__Peptostreptococcaceae,1.445481575,-2.563268025,1.200951422,-2.134364453,0.032812959,0.099017517,FALSE,family
f__Podoviridae,0.314492527,-0.21965432,2.75266068,-0.079797093,0.936398636,0.936398636,FALSE,family
f__Porphyromonadaceae,0.011062461,-0.136232599,3.455568188,-0.039424081,0.968552281,NA,NA,family
f__Prevotellaceae,52.69315553,0.133531838,1.27462288,0.10476184,0.916564791,0.936398636,FALSE,family
f__Propionibacteriaceae,0.077546373,-0.956766785,3.455650589,-0.276870233,0.78187975,NA,NA,family
f__Proteobacteria_unclassified,8.018552327,-3.409346789,1.303582072,-2.615367964,0.008913138,0.053478825,FALSE,family
f__Pseudomonadaceae,0,NA,NA,NA,NA,NA,NA,family
f__Retroviridae,0.256795985,-0.762130249,1.892180473,-0.402778836,0.687110931,0.824533118,FALSE,family
f__Rhodospirillaceae,0.052224363,-0.085953238,3.455439898,-0.02487476,0.98015486,NA,NA,family
f__Rikenellaceae,75.16002775,-0.45593237,0.50131344,-0.909475656,0.363099102,0.636946766,FALSE,family
f__Ruminococcaceae,95.34683329,0.393855031,0.18346456,2.146763553,0.03181211,0.099017517,FALSE,family
f__Selenomonadaceae,0.027832959,-0.586561419,3.455717833,-0.169736491,0.865217375,NA,NA,family
f__Siphoviridae,4.55784541,-1.758560419,0.580349097,-3.030176884,0.002444106,0.02199695,TRUE,family
f__Streptococcaceae,11.56702486,-3.19985855,0.682987568,-4.685090476,2.80E-06,0.000100741,TRUE,family
f__Sutterellaceae,4.822522784,-0.75941978,0.918778026,-0.826554139,0.408489821,0.640801114,FALSE,family
f__Synergistaceae,0.837879647,-2.629682371,2.690331289,-0.97745671,0.328343099,0.628815843,FALSE,family
f__Tannerellaceae,55.74439385,-0.112391947,0.444979776,-0.252577653,0.800594601,0.847919198,FALSE,family
f__Veillonellaceae,6.909843294,-2.867688503,1.036999307,-2.765371669,0.005685797,0.04093774,TRUE,family
f__Victivallaceae,0.016107534,-0.546494268,3.455719779,-0.158141951,0.874344944,NA,NA,family
f__Victivallales_unclassified,0,NA,NA,NA,NA,NA,NA,family
g__Absiella,0,NA,NA,NA,NA,NA,NA,genus
g__Acidaminococcus,4.627876964,-3.71638534,1.847568747,-2.011500436,0.044272624,0.579162795,FALSE,genus
g__Actinomyces,0.015363635,-0.108670446,3.454559552,-0.031457106,0.974905,0.999999943,FALSE,genus
g__Adlercreutzia,0.605680271,0.798696653,1.313196192,0.60820817,0.543049417,0.999999943,FALSE,genus
g__Aeromonas,0.006118262,-0.083283755,3.454570349,-0.024108282,0.980766237,0.999999943,FALSE,genus
g__Agathobaculum,1.906139378,-1.16704077,0.728167044,-1.602710229,0.108998644,0.724840984,FALSE,genus
g__Akkermansia,21.75550627,-0.142323445,1.246411674,-0.114186546,0.909089916,0.999999943,FALSE,genus
g__Alistipes,133.8769349,0.180843142,0.60901957,0.296941429,0.766511226,0.999999943,FALSE,genus
g__Allisonella,0,NA,NA,NA,NA,NA,NA,genus
g__Alloscardovia,0,NA,NA,NA,NA,NA,NA,genus
g__Anaerofustis,0,NA,NA,NA,NA,NA,NA,genus
g__Anaeromassilibacillus,0.213684699,-0.157567359,1.836975312,-0.085775436,0.931644933,0.999999943,FALSE,genus
g__Anaerostipes,4.758692781,-0.413160096,0.591591698,-0.698387245,0.484935051,0.999999943,FALSE,genus
g__Anaerotignum,0.197008219,0.340279276,2.075934416,0.163916198,0.869797116,0.999999943,FALSE,genus
g__Anaerotruncus,1.578010014,-0.293625215,1.098527204,-0.267289889,0.789245971,0.999999943,FALSE,genus
g__Asaccharobacter,1.089349095,-0.027702223,0.857042958,-0.032323027,0.974214446,0.999999943,FALSE,genus
g__Azospirillum,0.069748184,-0.173919862,3.45452643,-0.0503455,0.959847066,0.999999943,FALSE,genus
g__Bacteroides,552.4463928,-0.863875863,0.373099828,-2.315401396,0.020590975,0.391228529,FALSE,genus
g__Barnesiella,22.8759834,-4.981850431,1.251072151,-3.982064845,6.83E-05,0.004543222,TRUE,genus
g__Betabaculovirus,0.002214228,-0.062495288,3.454578399,-0.018090569,0.985566602,0.999999943,FALSE,genus
g__Bifidobacterium,23.93472647,-2.848736665,0.861011808,-3.308591867,0.000937664,0.033964865,TRUE,genus
g__Bilophila,1.280576454,-0.242830347,0.82854617,-0.293080042,0.769460971,0.999999943,FALSE,genus
g__Blautia,22.08692489,5.10E-09,0.071628682,7.11E-08,0.999999943,0.999999943,FALSE,genus
g__Butyricimonas,2.199566147,1.212163263,0.829687474,1.460987782,0.144018794,0.912119031,FALSE,genus
g__Butyrivibrio,1.799734672,5.305246337,2.78299132,1.906310774,0.056609897,0.579162795,FALSE,genus
g__C2virus,0.403664364,0.540944979,2.093696748,0.258368352,0.796122639,0.999999943,FALSE,genus
g__C5virus,0,NA,NA,NA,NA,NA,NA,genus
g__Campylobacter,0.023249395,-0.083283756,3.454570349,-0.024108282,0.980766237,0.999999943,FALSE,genus
g__Candidatus_Gastranaerophilales_unclassified,0.136156279,-0.013852435,3.369676802,-0.004110909,0.996719978,0.999999943,FALSE,genus
g__Candidatus_Stoquefichus,0.095622721,-0.243541951,2.723516092,-0.089421888,0.928746629,0.999999943,FALSE,genus
g__Catenibacterium,0.277099735,-0.177156117,3.378876465,-0.052430481,0.958185688,0.999999943,FALSE,genus
g__Caudovirales_unclassified,0.015766831,-0.128220103,3.454550165,-0.037116295,0.970392279,0.999999943,FALSE,genus
g__Cba120virus,0.12681488,0.996437462,3.451287476,0.28871471,0.772799705,0.999999943,FALSE,genus
g__Cd119virus,0.021096673,-0.075560868,3.454287039,-0.021874519,0.982548051,0.999999943,FALSE,genus
g__Christensenella,0.015584759,-0.128220103,3.454550165,-0.037116295,0.970392279,0.999999943,FALSE,genus
g__Citrobacter,0,0,0,0,1,NA,NA,genus
g__Cloacibacillus,2.55634952,-2.405969887,3.28425928,-0.73257611,0.463817006,0.999999943,FALSE,genus
g__Clostridiales_Family_XIII_Incertae_Sedis_unclassified,0.008017033,-0.083283755,3.454570349,-0.024108282,0.980766237,0.999999943,FALSE,genus
g__Clostridiales_unclassified,0.242532586,2.438496668,3.297848056,0.739420564,0.459651659,0.999999943,FALSE,genus
g__Clostridioides,0,NA,NA,NA,NA,NA,NA,genus
g__Clostridium,15.04281568,-1.056378049,0.53597844,-1.970933846,0.048731443,0.579162795,FALSE,genus
g__Collinsella,26.21377248,-1.560560485,0.691817739,-2.255739335,0.024086961,0.40044572,FALSE,genus
g__Coprobacillus,0.044710374,-0.267240815,3.454470778,-0.077360856,0.93833648,0.999999943,FALSE,genus
g__Coprobacter,1.65084411,0.806726796,1.31742427,0.612351552,0.540305189,0.999999943,FALSE,genus
g__Coprococcus,10.79778766,-0.553882727,0.735469788,-0.753100584,0.451389473,0.999999943,FALSE,genus
g__Cyprinivirus,0.008017033,-0.083283755,3.454570349,-0.024108282,0.980766237,0.999999943,FALSE,genus
g__Desulfovibrio,3.698871844,2.311478659,2.212266213,1.044846522,0.296093909,0.999999943,FALSE,genus
g__Desulfovibrionaceae_unclassified,0.173855385,1.905209969,2.256427579,0.844347936,0.398475007,0.999999943,FALSE,genus
g__Dialister,3.11960513,-1.758636389,1.563071148,-1.12511602,0.260539874,0.999999943,FALSE,genus
g__Dielma,0.873613616,0.414005,3.293192861,0.125715382,0.899957225,0.999999943,FALSE,genus
g__Dorea,12.26517192,-1.696027343,0.526199746,-3.223162602,0.001267836,0.033964865,TRUE,genus
g__Eggerthella,1.133613874,-0.701671363,0.733359888,-0.956789939,0.338673291,0.999999943,FALSE,genus
g__Eisenbergiella,1.245800637,-0.983573743,1.764547981,-0.55740833,0.577248475,0.999999943,FALSE,genus
g__Enorma,0.012236523,0.11037318,3.454333113,0.031952095,0.974510254,0.999999943,FALSE,genus
g__Enterobacter,1.591976822,-3.528980824,2.700072652,-1.306994766,0.191214489,0.974982056,FALSE,genus
g__Enterococcus,0.504731071,-0.809018665,1.962762359,-0.412183707,0.680204778,0.999999943,FALSE,genus
g__Enterorhabdus,0,NA,NA,NA,NA,NA,NA,genus
g__Epsilon15virus,0.026570737,-0.22029789,3.454499725,-0.063771286,0.949152342,0.999999943,FALSE,genus
g__Erysipelatoclostridium,0.335409752,0.201185656,1.058859979,0.190002134,0.849307458,0.999999943,FALSE,genus
g__Escherichia,5.756945404,-2.56377838,1.302574174,-1.968239837,0.049040449,0.579162795,FALSE,genus
g__Eubacterium,35.19313621,0.381001908,0.51817383,0.735278174,0.462170098,0.999999943,FALSE,genus
g__Faecalibacterium,105.29299,0.99936127,0.741590353,1.347592058,0.177789626,0.974982056,FALSE,genus
g__Faecalicatena,0.020758388,0.512589403,3.453393625,0.148430633,0.882002926,0.999999943,FALSE,genus
g__Faecalicoccus,0,NA,NA,NA,NA,NA,NA,genus
g__Faecalitalea,3.567067829,-1.349703274,3.453061691,-0.390871463,0.695892249,0.999999943,FALSE,genus
g__Felixo1virus,0.08323241,-0.673712775,3.454099417,-0.195047303,0.845355916,0.999999943,FALSE,genus
g__Firmicutes_unclassified,19.68580622,0.166013664,0.711476961,0.233336668,0.815499987,0.999999943,FALSE,genus
g__Flavonifractor,7.075171616,-0.860892988,0.608710979,-1.414288584,0.157277188,0.950812089,FALSE,genus
g__Fusicatenibacter,15.3451615,-0.553396211,0.566869237,-0.976232567,0.328949228,0.999999943,FALSE,genus
g__Fusobacterium,0.057807586,0.98305265,3.451118468,0.28485045,0.775758719,0.999999943,FALSE,genus
g__Gammaretrovirus,0.035768299,-0.128220103,3.454550165,-0.037116295,0.97039228,0.999999943,FALSE,genus
g__Gemmiger,0.955953664,-0.551852311,1.049517995,-0.525815006,0.599016747,0.999999943,FALSE,genus
g__Gordonibacter,0.375990005,-0.404637008,1.651658873,-0.244988245,0.806465533,0.999999943,FALSE,genus
g__Haemophilus,0.049935205,-0.110537443,3.190119218,-0.034649941,0.972358878,0.999999943,FALSE,genus
g__Hafnia,0.010567907,-0.083283755,3.454570349,-0.024108282,0.980766237,0.999999943,FALSE,genus
g__Harryflintia,0.018323166,-0.173919862,3.45452643,-0.050345501,0.959847066,0.999999943,FALSE,genus
g__Hk97virus,0.082714192,0.287466714,3.45360591,0.083236687,0.933663342,0.999999943,FALSE,genus
g__Holdemanella,0.055497939,0.378102745,3.453649843,0.109479178,0.912822436,0.999999943,FALSE,genus
g__Holdemania,0.356508547,0.541634861,1.458508611,0.371362127,0.71036783,0.999999943,FALSE,genus
g__Hungatella,0.533258096,1.151913749,1.721443813,0.669155589,0.503396233,0.999999943,FALSE,genus
g__Intestinibacter,1.890737155,-2.088209898,1.28601316,-1.623785792,0.104421533,0.724840984,FALSE,genus
g__Intestinimonas,4.059709398,-1.094685258,1.293480402,-0.846309891,0.397379891,0.999999943,FALSE,genus
g__Jerseyvirus,1.002155278,-2.932754307,3.449979619,-0.850078734,0.395281314,0.999999943,FALSE,genus
g__Klebsiella,2.967603296,0.144072775,1.829413406,0.078753536,0.937228662,0.999999943,FALSE,genus
g__Kosakonia,0.006642684,-0.083283755,3.454570349,-0.024108282,0.980766237,0.999999943,FALSE,genus
g__Kp36virus,0.019374496,-0.173919861,3.45452643,-0.0503455,0.959847066,0.999999943,FALSE,genus
g__Lachnoclostridium,5.771254474,-1.375754743,0.797387681,-1.72532731,0.084468503,0.667677375,FALSE,genus
g__Lachnospira,4.051825401,-1.315313659,1.226390511,-1.072508021,0.283491913,0.999999943,FALSE,genus
g__Lachnospiraceae_unclassified,27.71051673,-0.334657761,0.763329849,-0.438418282,0.661083096,0.999999943,FALSE,genus
g__Lactobacillus,4.735334854,-3.155922567,1.697081824,-1.85961721,0.062939703,0.597927175,FALSE,genus
g__Lactococcus,0.018665364,-0.154691829,3.454536328,-0.044779332,0.964283199,0.999999943,FALSE,genus
g__Lactonifactor,0,NA,NA,NA,NA,NA,NA,genus
g__Lawsonibacter,2.718891251,-0.243850665,0.770134646,-0.316633807,0.75152148,0.999999943,FALSE,genus
g__Leuconostoc,0.120121872,0.002871964,3.454329646,0.00083141,0.999336631,0.999999943,FALSE,genus
g__Lymphocryptovirus,0,NA,NA,NA,NA,NA,NA,genus
g__Macavirus,0,NA,NA,NA,NA,NA,NA,genus
g__Massiliomicrobiota,0,NA,NA,NA,NA,NA,NA,genus
g__Megamonas,0.035768299,-0.128220103,3.454550165,-0.037116295,0.97039228,0.999999943,FALSE,genus
g__Megasphaera,1.288926026,-3.036133982,1.754886014,-1.730103242,0.083611831,0.667677375,FALSE,genus
g__Methanobrevibacter,4.124259201,0.94949597,1.292451432,0.734647312,0.462554316,0.999999943,FALSE,genus
g__Methanomassiliicoccus,0.097627328,1.514244782,3.448912549,0.439049921,0.660625365,0.999999943,FALSE,genus
g__Methanosphaera,0.032206954,0.422422367,3.453667149,0.122311256,0.902652518,0.999999943,FALSE,genus
g__Monoglobus,3.09617376,-1.213354373,0.942429274,-1.287475258,0.197928688,0.974982056,FALSE,genus
g__Muvirus,0.024473047,-0.128220103,3.454550165,-0.037116295,0.97039228,0.999999943,FALSE,genus
g__Myoviridae_unclassified,0.423790045,-0.035150054,1.43249655,-0.024537619,0.980423777,0.999999943,FALSE,genus
g__N15virus,0.008773356,-0.127815791,3.454550378,-0.036999255,0.9704856,0.999999943,FALSE,genus
g__Nona33virus,0,NA,NA,NA,NA,NA,NA,genus
g__Odoribacter,17.12118976,-0.121066913,0.730533253,-0.165724027,0.868374136,0.999999943,FALSE,genus
g__Olsenella,0.348740919,-0.173919863,3.45452643,-0.050345501,0.959847065,0.999999943,FALSE,genus
g__Oscillibacter,17.29299753,1.063736438,1.045158543,1.017775193,0.308784803,0.999999943,FALSE,genus
g__Oxalobacter,0.037780266,0.066053265,3.454315812,0.019121953,0.984743818,0.999999943,FALSE,genus
g__P1virus,0.180182808,-0.070909137,3.277694596,-0.021633845,0.982740035,0.999999943,FALSE,genus
g__P22virus,0.025832661,-0.083283756,3.454570349,-0.024108282,0.980766237,0.999999943,FALSE,genus
g__P2virus,0.09211383,1.17219362,3.450257274,0.339740932,0.734051634,0.999999943,FALSE,genus
g__Paeniclostridium,0.092997578,-0.173919864,3.45452643,-0.050345501,0.959847065,0.999999943,FALSE,genus
g__Parabacteroides,80.8938276,-1.650793042,0.512489244,-3.221127197,0.001276875,0.033964865,TRUE,genus
g__Paraprevotella,1.542418349,-0.031280465,1.225430743,-0.025526098,0.979635332,0.999999943,FALSE,genus
g__Parasutterella,7.294586535,-0.79203677,1.147869353,-0.690006026,0.490190398,0.999999943,FALSE,genus
g__Pediococcus,0.022678673,-0.220297891,3.454499725,-0.063771286,0.949152342,0.999999943,FALSE,genus
g__Peptostreptococcaceae_unclassified,0,NA,NA,NA,NA,NA,NA,genus
g__Phascolarctobacterium,7.962835384,-0.546397378,0.725768859,-0.752853158,0.451538159,0.999999943,FALSE,genus
g__Podoviridae_unclassified,0.034543674,-0.267240604,3.454470778,-0.077360794,0.938336529,0.999999943,FALSE,genus
g__Prevotella,37.15385201,-0.648522641,1.515330712,-0.427974326,0.668669812,0.999999943,FALSE,genus
g__Propionibacterium,0.149116807,-0.56867814,3.454214944,-0.164633107,0.869232771,0.999999943,FALSE,genus
