"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","threshold","level"
"s__Phascolarctobacterium_faecium",2.77634412391977,-0.0754921835490649,0.462303578504689,-0.163295693693834,0.870285624330132,0.90776203877497,FALSE,"species"
"s__Phascolarctobacterium_sp_CAG_266",1.51305540739851,1.56235103684271,0.344413078757438,4.53627092931345,5.72576166440909e-06,0.00017831657754874,TRUE,"species"
"s__Phascolarctobacterium_succinatutens",3.3217886345375,-1.92702908581469,0.633207634067817,-3.04328151168232,0.00234013305060033,0.021256208542953,TRUE,"species"
"s__Prevotella_copri",1.59874873818339,1.87097865722382,0.44340000407179,4.21961804249531,2.44716566324222e-05,0.000410370857374465,TRUE,"species"
"s__Prevotella_sp_CAG_279",3.37083399327076,-1.94855987970562,0.721454494747003,-2.7008770392219,0.0069156900967775,0.0482665882642636,TRUE,"species"
"s__Prevotella_sp_CAG_891",1.0317808199167,-0.00128967900328909,0.467882447733103,-0.00275641672291322,0.997800700438634,NA,NA,"species"
"s__Propionibacterium_freudenreichii",1.22654134012847,-0.310603766709559,0.460193270904881,-0.67494200012707,0.499712614977562,0.68669229008627,FALSE,"species"
"s__Proteobacteria_bacterium_CAG_139",6.2157786007943,-1.47405122356951,0.634083372588426,-2.32469622654227,0.0200882092028189,0.0978851883177609,FALSE,"species"
"s__Pseudoflavonifractor_sp_An184",1.13844304916658,-0.178166881023093,0.462812124031816,-0.384965889551426,0.700262687768035,NA,NA,"species"
"s__Pseudomonas_phage_B3",1.0317808199167,-0.00128967900328909,0.467882447733103,-0.00275641672291322,0.997800700438634,NA,NA,"species"
"s__Pseudomonas_phage_F10",1.04943926061065,-0.0323162750154488,0.466906536030276,-0.0692135845649274,0.944819610120557,NA,NA,"species"
"s__Pseudomonas_virus_phiCTX",1.04950732883116,-0.0323164244938579,0.466906759717587,-0.0692138715520092,0.944819381685814,NA,NA,"species"
"s__Pyramidobacter_piscolens",1.0317808199167,-0.00128967900328909,0.467882447733103,-0.00275641672291322,0.997800700438634,NA,NA,"species"
"s__Romboutsia_ilealis",1.0317808199167,-0.00128967900328909,0.467882447733103,-0.00275641672291322,0.997800700438634,NA,NA,"species"
"s__Roseburia_faecis",15.5489675559808,-1.02140132083664,0.692110844096713,-1.47577708043238,0.140003745508298,0.39605576707436,FALSE,"species"
"s__Roseburia_hominis",4.24897237764541,-0.33662074080516,0.471335259626607,-0.714185357301364,0.475112570058554,0.67133069717954,FALSE,"species"
"s__Roseburia_intestinalis",5.48984319237155,-1.22554702088594,0.560147774651783,-2.18789947286286,0.028676925715528,0.127583057265002,FALSE,"species"
"s__Roseburia_inulinivorans",4.68948980230735,0.323206910945751,0.447975014642686,0.721484235462434,0.470611636495342,0.67133069717954,FALSE,"species"
"s__Roseburia_sp_CAG_100",1.50847134901388,0.753648079541263,0.439490819808972,1.71482098276556,0.0863780532851555,0.298895485970856,FALSE,"species"
"s__Roseburia_sp_CAG_10041_57",1.13773146408039,0.100806349873056,0.437054481940728,0.230649390495731,0.817587193892819,NA,NA,"species"
"s__Roseburia_sp_CAG_182",1.06728964825883,-0.0626900087881683,0.465983390152155,-0.13453271106444,0.892981346503313,NA,NA,"species"
"s__Roseburia_sp_CAG_197",1.0317808199167,-0.00128967900328909,0.467882447733103,-0.00275641672291322,0.997800700438634,NA,NA,"species"
"s__Roseburia_sp_CAG_303",1.04956313934437,0.114187566991715,0.453456389111196,0.251815984367383,0.801183301635033,NA,NA,"species"
"s__Roseburia_sp_CAG_309",1.04950732883116,-0.0323164244938579,0.466906759717587,-0.0692138715520092,0.944819381685814,NA,NA,"species"
"s__Roseburia_sp_CAG_471",1.21048821461103,-0.285176778868231,0.476243408597069,-0.598804673661128,0.549303145335639,0.721374010139574,FALSE,"species"
"s__Rothia_dentocariosa",1.0317808199167,-0.00128967900328909,0.467882447733103,-0.00275641672291322,0.997800700438634,NA,NA,"species"
